T999/E001,,,Saddle,,,T999/E042,,,Bearing,,
T999/E002,,,Slide,,,T999/E043,,,Bearing,,
T999/E003,,,Rotating slide,,,T999/E044,,,Screw,,
T999/E004,,,Upper slide,,,T999/E045,,,Screw,,
T999/E005,,,Collar,,,T999/E046,,,Screw,,
T999/E006,,,Gib,,,T999/E047,,,Screw,,
T999/E007,,,Hub,,,T999/E048,,,Allen key,,
T999/E008,,,Strip,,,T999/E049,,,Allen key,,
T999/E009,,,Gib,,,T999/E050,,,Allen key,,
T999/E010,,,Stop,,,T999/E052,,,Allen key,,
T999/E011,,,Stop,,,T999/E053,,,m Adjustment grub screw,,
T999/E012,,,Hammer screw,,,T999/E054,,,Adjustment grub screw,,
T999/E013,,,Lever base,,,T999/E055,,,Adjustment grub screw,,
T999/E014,,,Lever,,,T999/E056,,,Adjustment grub screw,,
T999/E015,,,Stop,,,T999/E057,,,o Adjustment grub screw,,
T999/E016,,,Screw,,,T999/E058,,,Adjustment grub screw,,
T999/E017,,,Micrometer,,,T999/E059,,,Nut,,
T999/E018,,,Switch,,,c T999/E060,,,Nut,,
T999/E019,,,Switch,,,T999/E061,,,Washer,,
T999/E020,,,Collar,,,. T999/E062,,,Screw,,
T999/E022,,,i Washer,,,T999/E063,,,Spring,,
T999/E023,,,Nut,,,T999/E064,,,Oiler,,
T999/E024,,,v Micrometer,,,T999/E066,,,Plug,,
T999/E025,,,Plate,,,T999/E067,,,Shaft gear,,
T999/E026,,,Plate,,,T999/E069,,,Bearing,,
T999/E027,,,r Plate,,,T999/E070,,,Allen key,,
T999/E028,,,Screw,,,T999/E071,,,Lever,,
T999/E029,,,e Washer,,,T999/E072,,,Handle,,
T999/E030,,,Turret base,,,T999/E073,,,Spacer,,
T999/E031,,,f Adjustment screw,,,T999/E074,,,Key,,
T999/E032,,,Adjustment screw,,,T999/E075,,,Screw,,
T999/E033,,,Switch,,,T999/E076,,,Key,,
T999/E034,,,Gib,,,T999/E077,,,Thrusting bearing,,
T999/E035,,,T bolts,,,T999/E078,,,Bearing housing,,
T999/E036,,,Threaded lock,,,T999/E079,,,Bearing dust cover,,
T999/E037,,,Nut,,,T999/E080,,,Washer,,
T999/E038,,,Switch cover,,,T999/E081,,,Washer,,
T999/E039,,,Small brush,,,T999/E082,,,Locking nut,,
T999/E040,,,Small brush,,,T999/E083,,,Allen key,,
